County,,county,estimatedRevenue
Alameda,County,Alameda County,349.2
Alpine,County,Alpine County,206.3
Amador,County,Amador County,72
Butte,County,Butte County,73.1
Calaveras,County,Calaveras County,56.4
Colusa,County,Colusa County,196.8
Contra Costa,County,Contra Costa County,317.3
Del Norte,County,Del Norte County,53.3
El Dorado,County,El Dorado County,94.7
Fresno,County,Fresno County,118.6
Glenn,County,Glenn County,119.1
Humboldt,County,Humboldt County,162.7
Imperial,County,Imperial County,85.9
Inyo,County,Inyo County,399.2
Kern,County,Kern County,129.5
Kings,County,Kings County,110.1
Lake,County,Lake County,29.4
Lassen,County,Lassen County,42.3
Los Angeles,County,Los Angeles County,361.8
Madera,County,Madera County,73.3
Marin,County,Marin County,275
Mariposa,County,Mariposa County,115.6
Mendocino,County,Mendocino County,313
Merced,County,Merced County,118.8
Modoc,County,Modoc County,41.7
Mono,County,Mono County,158.6
Monterey,County,Monterey County,154.5
Napa,County,Napa County,475.7
Nevada,County,Nevada County,170.5
Orange,County,Orange County,348
Placer,County,Placer County,170.2
Plumas,County,Plumas County,213.8
Riverside,County,Riverside County,145.9
Sacramento,County,Sacramento County,98.7
San Benito,County,San Benito County,107.4
San Bernardino,County,San Bernardino County,196.9
San Diego,County,San Diego County,263.2
San Francisco,County,San Francisco County,994.2
San Joaquin,County,San Joaquin County,127
San Luis Obispo,County,San Luis Obispo County,210.5
San Mateo,County,San Mateo County,784.2
Santa Barbara,County,Santa Barbara County,298.1
Santa Clara,County,Santa Clara County,570.3
Santa Cruz,County,Santa Cruz County,171.2
Shasta,County,Shasta County,111.4
Sierra,County,Sierra County,27.7
Siskiyou,County,Siskiyou County,111.1
Solano,County,Solano County,145.2
Sonoma,County,Sonoma County,233.1
Stanislaus,County,Stanislaus County,88.8
Sutter,County,Sutter County,148.4
Tehama,County,Tehama County,105
Trinity,County,Trinity County,113.7
Tulare,County,Tulare County,71.8
Tuolumne,County,Tuolumne County,110.9
Ventura,County,Ventura County,205.6
Yolo,County,Yolo County,130.9
Yuba,County,Yuba County,102.4
