position,common_reference,full_name,first_name,last_name,bioguide_id,party,district_id,district,full_reference,image_url
Rep.,Congresswoman,Linda Sanchez,Linda,Sanchez,S000030,D,38,Lakewood,Congresswoman Linda Sanchez - (D-Lakewood),/legacy/assethost/i/324788c23fc4158a6d2b31b3ffc7a2c0/57741-wide.jpg
Rep.,Congresswoman,Loretta Sanchez,Loretta,Sanchez,S000030,D,46,Anaheim,Congresswoman Loretta Sanchez - (D-Anaheim),/legacy/assethost/i/8d703128994c52a11c6dfbedd84e8896/54582-wide.jpg
Rep.,Congressman,Adam Schiff,Adam,Schiff,S001150,D,28,Glendale,Congressman Adam Schiff - (D-Glendale),/legacy/assethost/i/5fe587ea8a39086d95d134d5425a1aa4/54546-wide.jpg
Rep.,Congressman,Brad Sherman,Brad,Sherman,S000344,D,30,Sherman Oaks,Congressman Brad Sherman - (D-Sherman Oaks),/legacy/assethost/i/d7eef28b6b29158970229989cc158bb7/54552-wide.jpg
Rep.,Congressman,Jackie Speier,Jackie,Speier,S001175,D,14,San Mateo,Congressman Jackie Speier - (D-San Mateo),/legacy/assethost/i/bc6447ff81435b8fc1244047823f3e1c/54568-wide.jpg
Rep.,Congressman,Eric Swalwell,Eric,Swalwell,S001193,D,15,Livermore,Congressman Eric Swalwell - (D-Livermore),/legacy/assethost/i/eca5205ab6efd8e7d1a475e7e33d8171/54563-wide.jpg
Rep.,Congressman,Mark Takano,Mark,Takano,T000472,D,41,Riverside,Congressman Mark Takano - (D-Riverside),/legacy/assethost/i/95af298588d8607ab47e8fc7a9448cae/54585-wide.jpg
Rep.,Congressman,Mike Thompson,Mike,Thompson,T000460,D,5,St. Helena,Congressman Mike Thompson - (D-St. Helena),/legacy/assethost/i/cea28e53ea47e0f3c38708462660e7a8/54588-wide.jpg
Rep.,Congressman,David Valadao,David,Valadao,V000129,R,21,Hanford,Congressman David Valadao - (R-Hanford),/legacy/assethost/i/e50dc3fe30296d026916dd9819e00756/54554-wide.jpg
Rep.,Congressman,Juan Vargas,Juan,Vargas,V000130,D,51,Chula Vista,Congressman Juan Vargas - (D-Chula Vista),/legacy/assethost/i/b7c0bfe3b30f5c3899d6f4cdce932514/54575-wide.jpg
Rep.,Congresswoman,Maxine Waters,Maxine,Waters,W000187,D,43,Los Angeles,Congresswoman Maxine Waters - (D-Los Angeles),/legacy/assethost/i/c52c55a13b0fcd918d440f64b75235b4/54586-wide.jpg
Rep.,Congressman,Henry Waxman,Henry,Waxman,W000215,D,33,Los Angeles,Congressman Henry Waxman - (D-Los Angeles),/legacy/assethost/i/1600cfbf17bf5e3f0566dffbadffdb89/54567-wide.jpg
