title,date,display date,photo url,caption,body,read more url
ICE begins releasing immigrant detainees,"February 21, 2013",Feb. 21,http://a.scpr.org/i/41b325967192d709af263740b13ece70/54135-lead.jpg,"An Orange County Sheriff's deputy keeps a watch over a group of immigration detainees in the medical and dental care area at the Theo Lacy Facility in Orange, Calif.","Quietly, and in advance of looming spending cuts, Immigration & Customs Enforcement begins to release ""several hundred"" detainees from federal immigrant detention centers across the country. (L.A. Times)","http://www.latimes.com/news/nation/nationnow/la-na-nn-ff-arizona-detainee-release-20130228,0,2103839.story"
ICE announces detainee release,"February 26, 2013",Feb. 26,http://a.scpr.org/i/175286548c6b036f92906813aaeb43cd/55854-lead.jpg,"U.S. Department of Homeland Security Secretary Janet Napolitano speaks at the White House about the impact of possible sequestration cuts.
",,http://www.scpr.org/blogs/multiamerican/2013/02/27/12725/how-much-does-ice-save-releasing-immigrant-detaine/
Sequester deadline,"March 1, 2013",March 1,http://a.scpr.org/i/c6372ef55ff27b7a98cdea6e5b7c2b95/55154-lead.jpg,Speaker of the House John Boehner (R-OH) answers reporters' questions during a news conference.,"Sometime before midnight, President Obama will issue a sequestration order. At that point, Congress will be notified by the Office of Management and Budget, and federal agencies will activate their reduced-funding operation plans.  Cuts could begin immediately. Nothing short of aborting the entire sequester plan or striking a behemoth deficit deal will stop this.",
Furlough notices may be issued,"March 4, 2013",March 4,,,Government agencies must give a month notice for furloughs. Employees will be able to find out about a furlough from this date on. (ABC News),http://abcnews.go.com/blogs/politics/2013/02/sequester-timeline-when-will-the-cuts-be-felt/
School district layoff notice deadline,"March 15, 2013",March 15,http://a.scpr.org/i/0d7358ee4ce4ec76a59cd22b1aab9532/1191-lead.jpg,School districts may lose federal funding for teachers.,"By state law, school districts must send layoff notices for the following school year to certified employees by this date. (OC Register)",http://www.ocregister.com/news/cuts-497569-county-orange.html
"64,000 California civilian defense workers considered for furlough","March 21, 2013",March 21,http://a.scpr.org/i/2c54f44317c737cc9dac050bea3e5eaf/24286-lead.jpg,Civilian defense workers face possible furloughs.,"Furlough proposal notices will start being served to 64,000 civilian defense workers in California, according to Pentagon spokeswoman Army Lt. Col Elizabeth Robbins. Notices will be served through Mar. 25. Under the plan, furloughs would begin in late April, and almost all would be furloughed one day per week, through the end of September. (KPCC)",
Deadline for a deal,"March 27, 2013",March 27,http://a.scpr.org/i/11cd5bfed0941a6a7487a73b6b5f49e0/53008-lead.jpg,,"If a congressional deal is not reached, the government will run out of money. (ABC)",http://abcnews.go.com/blogs/politics/2013/02/sequester-timeline-when-will-the-cuts-be-felt/
"64,000 California civilian defense workers begin receiving furlough decision letters","March 29, 2013",March 29,,,"Furlough decision letters will start being served to 64,000 civilian defense workers in California. (KPCC)",
Furloughs may begin,"April 4, 2013",April 4,,,"Furloughs, if they have been issued on March 4, may begin on this date.  (ABC News)",abcnews.go.com/blogs/politics/2013/02/sequester-timeline-when-will-the-cuts-be-felt/
Taxes are still due,"April 15, 2013",April 15,http://a.scpr.org/i/b645c5022ef67a9d13a21f8155d6831c/39785-lead.jpg,Tax deadline will not change.,"Tax filing season will not be affected by possible furloughs, announced Acting Commisioner Steven T. Miller of the Internal Revenue Service. Furlough notices, however, are expected to come after. (Washington Post)",http://www.washingtonpost.com/blogs/federal-eye/wp/2013/02/28/irs-will-not-furlough-until-after-tax-filing-season/
Congressional pay at risk,"April 15, 2013",April 15,,,Congressional leaders will not be paid until they approve a budget for 2014. (Govexec.com),http://www.govexec.com/management/2013/02/sequester-timeline/61064/
"Furlough begins for up to 64,000 California civilian defense workers","April 24, 2013",April 24,,,"Furlough would begin for an unspecified number of California civilian defense workers, one day per week, through the end of September. (KPCC)",
Debt ceiling reprieve ends,"May 18, 2013",May 18,http://a.scpr.org/i/63ad4647f0f600bc62d3fed1f8d5bf2a/17670-lead.jpg,The debt ceiling reprieve will end. ,"This would be the end date for a temporary suspension of the debt ceiling under ""No Budget, No Pay."" (Govexec.com)",http://www.govexec.com/management/2013/02/sequester-timeline/61064/
School districts begin budgeting for the next school year,"July 1, 2013",July 1,,,"The manner in which California school districts budget their money means that cuts (that would go into effect under sequestration on Mar. 1) would not be felt by districts until this day, the start of their new fiscal year. (Inland Valley News)",http://www.inlandvalleynews.com/2013/02/28/some-breathing-room-for-calif-schools-as-sequestration-nears/
