category,year,n,turnout_eligible
"Alameda <br> 500,000 registered voters",2014,25.77,20.1
Alpine,2014,69.58,60.84
Amador,2014,46.69,36.98
Butte,2014,34.61,24.62
Calaveras,2014,46.27,35.45
Colusa,2014,47.14,29.35
Contra Costa,2014,28.74,21.21
Del Norte,2014,47.99,32.38
El Dorado,2014,40.08,31.62
Fresno,2014,26.15,18.94
Glenn,2014,47.14,30.97
Humboldt,2014,37.8,27.24
Imperial,2014,30.03,18.42
Inyo,2014,41.18,28.63
Kern,2014,21.63,14.58
Kings,2014,31.95,19.43
Lake,2014,45.75,31.73
Lassen,2014,43.72,33.74
Los Angeles,2014,16.97,13.56
Madera,2014,36.36,22.44
Marin,2014,40.87,34.43
Mariposa,2014,46.41,32.18
Mendocino,2014,34.64,25.56
Merced,2014,25.13,15.81
Modoc,2014,53.21,41.51
Mono,2014,55.33,33.17
Monterey,2014,32.48,22.64
Napa,2014,39.55,30.83
Nevada,2014,44.72,35.97
Orange,2014,24.11,17.39
Placer,2014,34.86,27.14
Plumas,2014,43.43,33.97
Riverside,2014,22.32,14.28
Sacramento,2014,29.61,21.29
San Benito,2014,31.85,21.97
San Bernardino,2014,18.88,12.67
San Diego,2014,27.23,19.8
San Francisco,2014,29.75,20.8
San Joaquin,2014,27.52,18.95
San Luis Obispo,2014,41.46,30.78
San Mateo,2014,27.45,19.95
Santa Barbara,2014,37.72,26.11
Santa Clara,2014,32.77,22.96
Santa Cruz,2014,34.83,26.3
Shasta,2014,30.7,22.46
Sierra,2014,63.97,56.34
Siskiyou,2014,46.33,32.77
Solano,2014,26.97,19.23
Sonoma,2014,40.97,28.93
Stanislaus,2014,26.42,17.13
Sutter,2014,36.35,25.72
Tehama,2014,42.69,29.81
Trinity,2014,54.47,34.7
Tulare,2014,31.95,17.18
Tuolumne,2014,41.27,31.1
Ventura,2014,24.19,19.13
Yolo,2014,32.95,23.89
Yuba,2014,32.4,18.41
"Alameda <br> 500,000 registered voters",2010,35.3,26.54
Alpine,2010,63.86,56.81
Amador,2010,57.65,46.31
Butte,2010,44.85,32.67
Calaveras,2010,52.98,42.58
Colusa,2010,46.4,30.28
Contra Costa,2010,40,29.68
Del Norte,2010,53.08,35.95
El Dorado,2010,49.6,40.49
Fresno,2010,30.84,22.09
Glenn,2010,53.88,37.09
Humboldt,2010,46.91,36.04
Imperial,2010,29.23,17.31
Inyo,2010,57.35,41.39
Kern,2010,33.03,21.13
Kings,2010,35.44,22.44
Lake,2010,47.48,33.38
Lassen,2010,50.5,39.7
Los Angeles,2010,23.47,17.6
Madera,2010,45.55,29.36
Marin,2010,51.31,42
Mariposa,2010,57.58,46.67
Mendocino,2010,48.11,37.72
Merced,2010,27.53,18.19
Modoc,2010,64.23,49.96
Mono,2010,59.53,38.02
Monterey,2010,38.75,26
Napa,2010,44.55,33.61
Nevada,2010,51.1,42.19
Orange,2010,30.11,25.64
Placer,2010,46.33,37.11
Plumas,2010,52.43,44.89
Riverside,2010,31.07,19.58
Sacramento,2010,37.45,26.62
San Benito,2010,45.21,32.35
San Bernardino,2010,27.2,17.7
San Diego,2010,38.03,25.78
San Francisco,2010,34.72,25.17
San Joaquin,2010,34.62,22.15
San Luis Obispo,2010,47.12,37.18
San Mateo,2010,38.38,26.8
Santa Barbara,2010,44.3,30.45
Santa Clara,2010,43.05,29.06
Santa Cruz,2010,37.48,30.27
Shasta,2010,46.86,33.63
Sierra,2010,73.26,66.53
Siskiyou,2010,51.91,39.03
Solano,2010,37.31,25.99
Sonoma,2010,51.25,37.19
Stanislaus,2010,31.8,22.08
Sutter,2010,45.24,28.75
Tehama,2010,50.05,35.4
Trinity,2010,62.71,43.63
Tulare,2010,32.96,19.77
Tuolumne,2010,52.07,43.19
Ventura,2010,35.43,28.24
Yolo,2010,35.36,27.4
Yuba,2010,38.42,23.49
"Alameda <br> 500,000 registered voters",2006,39.09,28.16
Alpine,2006,56.75,48.28
Amador,2006,58.36,44.76
Butte,2006,39.4,29.11
Calaveras,2006,45.72,35.14
Colusa,2006,52.29,36.24
Contra Costa,2006,37.86,27.26
Del Norte,2006,50.62,35.27
El Dorado,2006,42.85,33.95
Fresno,2006,32.45,20.55
Glenn,2006,59.15,40.87
Humboldt,2006,50.82,40.6
Imperial,2006,34.02,21.92
Inyo,2006,49.67,40.09
Kern,2006,36.72,23.48
Kings,2006,34.36,20.77
Lake,2006,41.94,28.73
Lassen,2006,48.37,41.14
Los Angeles,2006,27.35,18.45
Madera,2006,54.03,25.01
Marin,2006,48.64,40.42
Mariposa,2006,51.35,41.13
Mendocino,2006,50.66,39.08
Merced,2006,25.35,17.23
Modoc,2006,64.46,52.62
Mono,2006,49.89,34.16
Monterey,2006,36.77,24.54
Napa,2006,49.28,36.54
Nevada,2006,45.45,38.37
Orange,2006,27.64,22.35
Placer,2006,45.63,35.46
Plumas,2006,49.47,40.69
Riverside,2006,26.86,16.83
Sacramento,2006,34.59,23.8
San Benito,2006,40.9,30.01
San Bernardino,2006,24.8,15.64
San Diego,2006,37.29,25.49
San Francisco,2006,37.11,27.14
San Joaquin,2006,31.21,20.59
San Luis Obispo,2006,43.1,35.07
San Mateo,2006,36.85,27.7
Santa Barbara,2006,49.63,33.35
Santa Clara,2006,37.23,26.05
Santa Cruz,2006,40.23,32.5
Shasta,2006,45.86,31.3
Sierra,2006,67.18,57.58
Siskiyou,2006,50.41,37.37
Solano,2006,40.3,24.52
Sonoma,2006,53.22,38.75
Stanislaus,2006,33.5,21.33
Sutter,2006,39.32,26.74
Tehama,2006,46.7,32.18
Trinity,2006,60.63,43.95
Tulare,2006,32.56,18.66
Tuolumne,2006,48.81,39.93
Ventura,2006,33.3,24.89
Yolo,2006,42.83,30.33
Yuba,2006,40.55,23.89
"Alameda <br> 500,000 registered voters",2002,34.53,24.63
Alpine,2002,69.66,61.06
Amador,2002,53.92,42.31
Butte,2002,45.36,34.36
Calaveras,2002,53.62,41.24
Colusa,2002,59.27,41.56
Contra Costa,2002,39.15,28.6
Del Norte,2002,49.41,34.58
El Dorado,2002,49.65,38.68
Fresno,2002,37.77,25.67
Glenn,2002,45.78,32.1
Humboldt,2002,47.47,36.18
Imperial,2002,37.39,23.97
Inyo,2002,56.88,44.14
Kern,2002,42.72,26.74
Kings,2002,33.71,20.38
Lake,2002,38.38,27.01
Lassen,2002,54.74,43.26
Los Angeles,2002,25.86,19.13
