title,date,display date,photo url,caption,body,read more url
Invasion begins,3/20/2003,March 20,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56615-wide.jpg,"Before and after: On the left, smoke covers the presidential palace in Baghdad during the first U.S. invasion of Iraq. On the right, a night view of Baghdad's al-Fardous square in 2013. PATRICK BAZ/AFP/Getty Images","President George W. Bush announces that U.S. and Brit­ish troops have entered southern Iraq, followed by a wave of missiles aimed at government buildings in Baghdad. Among the first Mar­ines killed in com­bat — Lance Cor­por­al Jose Gu­ti­er­rez, 23, of Lo­mita, Calif.",http://news.bbc.co.uk/2/hi/middle_east/2866109.stm
Baghdad falls,4/9/2003,April 9,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56612-wide.jpg,U.S. Marines place a chain the head of a statue of Saddam Hussein before pulling it down in Baghdad's al-Fardous square. RAMZI HAIDAR/AFP/Getty Images,"Baghdad collapses to coalition forces. After Iraqis topple a statue of President Saddam Hussein, widespread looting, burning of buildings and vandalism of museums spread around the capital.",http://news.bbc.co.uk/2/hi/middle_east/2933707.stm
‘Mission accomplished’,5/1/2003,May 1,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56619-wide.jpg,"A banner reads ""Mission Accomplished"" aboard the USS Lincoln where ex-president George W. Bush declared the war against terrorism had reached a turning point as the aircraft carrier sails towards Naval Air Station North Island, in San Diego, Calif.  STEPHEN JAFFE/AFP/Getty Images","President George W. Bush announce that U.S. forces had brought a ""turning of the tide"" against terrorism and the conflict in Iraq had reached a ""new era.""",http://news.bbc.co.uk/2/hi/middle_east/7377036.stm
"Hussein captured
",12/13/2003,Dec. 13,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56640-wide.jpg,"A U.S. soldier from the 1st Brigade, 4th Infantry Division gets ready to enter the hole where toppled dictator Saddam Hussein was captured in Ad Dawr, near his home town of Tikrit. MAURICIO LIMA/AFP/Getty Images",Amer­ic­an troops find Saddam Hussein in a dirt hole near his hometown of Tikrit.,http://news.bbc.co.uk/onthisday/hi/dates/stories/december/14/newsid_3985000/3985287.stm
"Suicide bombings on the Day of Ashura
",3/2/2004,March 2,http://a.scpr.org/i/53b53adbcc154e131b52e4de4e952e87/56883-wide.jpg,Injured women and children are pushed away from the bombing scene. AHMAD AL-RUBAYE/AFP/Getty Images,"A series of suicide bombings in Baghdad and Karbala kill at least 178 and injure over 500 Shi'a Muslims on the Day of Ashura, a religious holiday.",http://news.bbc.co.uk/2/hi/middle_east/3524589.stm
"Protests take place in California, worldwide",3/21/2004,March 21,,,"In Los Angeles and San Francisco and all over North America, Europe and Asia, anti-war protesters march on the first anniversary of the Iraq invasion.",http://news.bbc.co.uk/2/hi/americas/3552147.stm
"Abu Ghraib abuse revealed
",4/28/2004,April 28,http://a.scpr.org/i/946769aad5cbb6050492340e661a6501/56871-wide.jpg,"Lebanese women hold up 04 May 2004 copies of the released photos showing US troops humiliating Iraqi prisoners in Abu Gharib jail, a former dreaded torture camp under the ousted Saddam Hussein regime, during a protest against the abuse of coalition prisoners in Iraq,","60 Minutes broadcast reveals Abu Ghraib prisoner human rights abuses to the nation, with graphic photos of evidence of the physical, sexual and psychological abuse of Iraqi prisoners by American military personnel. ",http://news.bbc.co.uk/2/hi/middle_east/3672901.stm
Transition of power to interim Iraqi government,6/28/2004,June 28,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56610-wide.jpg,Members of the new interim Iraqi Governing Council pose for a portrait following a meeting. MARWAN NAAMANI/AFP/Getty Images,"The U.S. start to transition government power to Prime Min­is­ter Ay­ad Allawi, who will lead Iraq's interim government.",http://news.bbc.co.uk/2/hi/middle_east/3272721.stm
Battle of Fallouja,11/9/2004,November 9,http://a.scpr.org/i/702443af389c9319a915b7306d0bef6e/56884-wide.jpg,U.S. troops prepare for the assault. Marco Di Lauro/Getty Images,U.S. and Iraqi troops attack insurgent-stronghold of Fallouja in the largest assault since the first day of the invasion.,http://news.bbc.co.uk/2/hi/middle_east/3998049.stm
White House: No WMDs in Iraq,1/12/2005,Jan. 12,http://a.scpr.org/i/506d4326e02ded6994cc1870ec3ac2ba/56609-wide.jpg,President George W. Bush meets with commission members whose report found that U.S. intelligence agencies were wrong in most prewar assessments about weapons of mass destruction in Iraq. BRENDAN SMIALOWSKI/AFP/Getty Images,"The White House ac­know­ledges U.S. forces have failed to find Iraq's weapons of mass destruction (WMD) program, which was cited as justification for going to war.",http://news.bbc.co.uk/2/hi/americas/4169107.stm
Calif. native Cindy Sheehan starts protesting at Bush's ranch,8/7/2005,Aug. 7,http://a.scpr.org/i/4c63157ab1695bcc8f044320425d6173/56885-wide.jpg,Cindy Sheehan leads a protest with the Gold Star Families group. MANDEL NGAN/AFP/Getty Images,"Cindy Sheehan, a Vacaville, Calif., mother of a fallen U.S. soldier, protests outside Bush's ranch in Texas as a part of her ""Impeachment Tour."" ",http://www.washingtonpost.com/wp-dyn/content/article/2005/08/06/AR2005080601337.html
