"year","n","category"
2015-09-01,128.567291273468,"2014-15"
2015-08-01,150.09311860962,"2014-15"
2015-07-01,126.259933176324,"2014-15"
2015-06-01,126.39712386173,"2014-15"
2015-05-01,107.131031785342,"2014-15"
2015-04-01,99.3695349499508,"2014-15"
2015-03-01,90.3006436271901,"2014-15"
2015-02-01,88.9871978506242,"2014-15"
2015-01-01,79.3918018561306,"2014-15"
2014-12-01,61.8783357474872,"2014-15"
2014-11-01,106.383115203091,"2014-15"
2014-10-01,115.033849675579,"2014-15"
2015-09-01,163.142649554311,"2015-16"
2015-08-01,177.381290913323,"2015-16"
2015-07-01,181.577355724951,"2015-16"
2015-06-01,152.061565853332,"2015-16"
2015-05-01,134.910857458594,"2015-16"
2015-04-01,122.885843813113,"2015-16"
2015-03-01,100.055763294256,"2015-16"
2015-02-01,105.955773310886,"2015-16"
2015-01-01,82.1238383276752,"2015-16"
2014-12-01,91.9938469161498,"2015-16"
2014-11-01,114.946763283537,"2015-16"
2014-10-01,123.6265898233,"2015-16"
2015-08-01,190.178113211196,"2016-17"
2015-07-01,206.56833124706,"2016-17"
2015-06-01,174.712307763814,"2016-17"
2015-05-01,155.260328700617,"2016-17"
2015-04-01,145.821000512631,"2016-17"
2015-03-01,113.669007569911,"2016-17"
2015-02-01,68.2190951790703,"2016-17"
2015-01-01,70.1174330051764,"2016-17"
2014-12-01,89.0319104294474,"2016-17"
2014-11-01,115.422466316267,"2016-17"
2014-10-01,129.728567051296,"2016-17"
