Candidate_name,1st_semi_annual_2011,2nd_semi_annual_2011,1st_semi_annual_2012,3rd_quarter_2012,4th_quarter_2012,Contributions_to_date,Matching_funds,Total
Eric Garcetti,,1063852.65,1144951,665624.28,727503.01,3601930.94,667000,4268930.94
Wendy Greuel,518992,588126.33,1102013.01,592959.83,672230.17,3474321.34,667000,4141321.34
Jan Perry,456411.54,370518.76,330467,157056,157282,1471735.30,548302,2020037.30
Kevin James,91041.04,63211.75,67892.23,52145.06,42475.87,316765.95,180081.88,496847.83
Austin Beutner,405034.36,222411.28,1265385.66,,,1892831.30,,1892831.30
Emanuel Pleitez ,,,,110243.68,102710.5,212954.18,,212954.18
