title,date,display date,photo url,caption,body,read more url
Ron Calderon texts with FBI agent,2/24/2012,Feb. 24,,,Ron Calderon sents a text message to the undercover agent. “Great lunch! Thanks. Here is my cell! I am emailing u next.” (Via FBI affidavit published by Al Jazeera America),
FBI adds Ron Calderon to investigation,4/9/2012,April 9,,,FBI adds Ron Calderon as a subject of its investigation. (Via FBI affidavit published by Al Jazeera America),
Dinner with the FBI,6/11/2012,June 11,,,"The undercover agent and Ron Calderon have dinner in Pico Rivera. Ron asks the agent, who is posing as a film executive, to give his daughter a job. “I told you man, anything you can do any help you could do for my kids is, is – you know that’s, that’s diamonds for me. That’s diamonds."" (Via FBI affidavit published by Al Jazeera America)",
A job with Ron Calderon ,6/21/2012,June 21,,,"Ron Calderon says he's willing to hire the agent's girlfriend, who is actually an undercover FBI agent, to work in his office. (Via FBI affidavit published by Al Jazeera America)",
Ron Calderon asks for a job -- for his daughter,6/29/2012,June 29,,,The agent and Ron Calderon have breakfast in Montebello. Calderon says he can introduce an amendment on film tax credits to benefit the agent. Calderon also offers to write up contract so his daughter can work for the film studio. “Ronald Calderon told the (undercover agent)  it was ‘better to keep it legit.’” He then tells the agent to mail him daughter’s first paycheck. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon: where's the money?,7/4/2012,July 4,,,"Ron Calderon emails agent, “Didn’t receive anything yesterday FYI.”  (Via FBI affidavit published by Al Jazeera America)",
A meeting in downtown,7/17/2012,July 17,,,The agent and Ron Calderon meet at the agent’s apartment in downtown to talk about Calderon’s daughter and the tax credit legislation. (Via FBI affidavit published by Al Jazeera America),
Calderon visits the studio,7/19/2012,July 19,,,Ron Calderon and his son visit the agent at his film studio. (Via FBI affidavit published by Al Jazeera America),
Feds ask Calderon for address,8/1/2012,Aug. 1,,,The undercover agent calls Ron Calderon to get his home address. (Via FBI affidavit published by Al Jazeera America),
First check sent for Jessica Calderon,8/2/2012,Aug. 2,,,"Agent mails Jessica Calderon's first ""paycheck."" ""Package received. Ty,"" Ron Calderon writes in an email. (Via FBI affidavit published by Al Jazeera America)",
Imagen Awards,8/10/2012,Aug. 10,,,"Ron Calderon and his wife, Ana, attend the Imagen Awards at the Beverly Hilton hotel with the agent and another undercover agent posing as his girlfriend. (Via FBI affidavit published by Al Jazeera America)",
Calderon opposes bill to give authority over groundwater management to neighboring district,8/13/2012,August,http://a.scpr.org/i/c4f7820ee62161462694bbe8cc21346c/62498-small.jpg,"Sen. Alan Lowenthal sponsored SB 1386, which Calderon opposed.",Ron Calderon votes against a bill sponsored by state Sen. Alan Lowenthal that gives the Water Replenishment District of Southern California authority over groundwater reserves in the region. The bill passed 30-4 in the Senate and was signed into law by Governor Brown.,http://www.mercurynews.com/california/ci_20615981/bill-seeks-clarify-groundwater-oversight
Problem with Calderon's tax amendment ,8/14/2012,Aug. 14,,,"Ron Calderon emails the agent to say, ""We were just thrown a curveball."" The Legislative Counsel determines Calderon's amend on film tax credits needs a two-thirds vote. (Via FBI affidavit published by Al Jazeera America)",
Calderon talks about Steinberg,8/17/2012,Aug. 17,,,"The agent and Ron Calderon have a conversation about keeping the film tax credit issue alive. Of Senate President Pro Tem Darrell Steinberg, Calderon says, ""I helped him, he helped me ... It was important to me. I did something that I knew was important to him. It is all about relationships."" (Via FBI affidavit published by Al Jazeera America)",
Calderon: where's the money?,9/5/2012,Sept. 5,,,"Ron Calderon emails the FBI agent, asking ""should Jessica expect a check this month."" (Via FBI affidavit published by Al Jazeera America)",
Ron Calderon makes up a film commission ,9/10/2012,Sept. 10,,,"The agent and Ron Calderon have dinner in Pico Rivera. Ron Calderon agrees to write a letter support the tax credit legislation. According to the affidavit, ""Ronald Calderon told the UC it would be fine for them to make up an association or commission, so long as they were the ones to whom the letter was addressed."" (Via affidavit published by Al Jazeera America)",
United Pacific Independent Producers of California,9/11/2012,Sept. 11,,,Ron Calderon makes up the United Pacific Indepndent Producers of California. (Via FBI affidavit published by Al Jazeera America),
Jessica Calderon's check goes to her dad,9/28/2012,Sept. 28,,,"The undercover agent mailes a $3,000 cehck with Jessica Calderon's name on it to Ron Calderon's home in Montebello. (Via FBI affidavit published by Al Jazeera America)",
Feds look into Calderon's emails,10/16/2012,Oct. 16,,,Judge Paul L. Abrams allows the government to search Calderon’s AOL email account. (Via FBI affidavit published by Al Jazeera America),
Dinner with the Calderons,10/16/2012,Oct. 16,,,The agent has dinner with Ron and Tom Calderon. Ron Calderon says state Sen. Kevin de Leon was suppose to join them. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon asks for work for his daughter,10/24/2012,Oct. 24,,,Ron Calderon asks the agent to give Jessica Calderon something to do to legimitize the arrangement. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon talks about de Leon,10/24/2012,Oct. 24,,,"Ron Calderon tells the agent it's important to have a good relationship with de Leon. He says, ""Senator de Leon could be extremely helpful in getting Ronald Calderon several appointments, such as an appointment to the Unemployment Board of the Board of Equalization."" (Via FBI affidavit published by Al Jazeera America)",
Dinner with de Leon,10/25/2012,Oct. 25,,,The FBI agent meets Ron Calderon and Kevin de Leon for dinner in downtown Los Angeles. They discuss film tax credits. (Via FBI affidavit published by Al Jazeera America),
Jessica Calderon emails FBI agent,10/26/2012,Oct. 26,,,Jessica Calderon emails the agent about helping him get a liquor license for his studio. This is not something the agent ever discussed with her. (Via FBI affidavit published by Al Jazeera America),
Halloween in Las Vegas,10/29/2012,Oct. 29,,,"Ron Calderon emails the agent to ask if he's had any luck arranging a trip to Las Vegas for Halloween. The agent reponds that he's booked a VIP table at Bank. ""Nelly is hosting/performing and you've got a front row seat on the action!"" (Via FBI affidavit published by Al Jazeera America)",
Calderon emails photos from Halloween,11/1/2012,Nov. 1,,,Ron Calderon emails the agent a picture of himself with rappers Nelly and T.I. (Via FBI affidavit published by Al Jazeera America),
Another check for Jessica Calderon,11/2/2012,Nov. 2,,,"The agent hands Ron Calderon a $3,000 check for his daughter. (Via FBI affidavit published by Al Jazeera America)",
Money for Zach Calderon's tuition,11/2/2012,Nov. 2,,,"Ron Calderon asks for a $5,000 check to cover his son's tuition at the Berklee College of Music. (Via FBI affidavit published by Al Jazeera America)",
Another check to Ron Calderon,11/20/2012,Nov. 20,,,"At a dinner, Ron Calderon receives another $3,000 check for his daughter. (Via FBI affidavit published by Al Jazeera America)",
Fundraiser for de Leon,12/4/2012,Dec. 4,,,"Ron Calderon suggests the agent donate $10,000 to Kevin de Leon's fundraiser that will be held in connection with the Manny Paquiao fight in Las Vegas. (Via FBI affidavit published by Al Jazeera America)",
Ron Calderon talks more about de Leon,12/5/2012,Dec. 5,,,"Ron Calderon tells the agen that Kevin de Leon made him a deal not to run as chair of the Latino Caucus. According to Calderon, de Leon will give him a paid political appointment when he leaves office, give him his own fundraiser, and give him $25,000 to hire consultants. (Via FBI affidavit published by Al Jazeera America)",
Christmas gifts for the FBI,12/18/2012,Dec. 8,,,Ron Caldeorn gives the agent a box of cigars and a coffee maker as gifts for the holidays. (Via FBI affidavit published by Al Jazeera America),
FBI Sacramento closes investigation,12/19/2012,Dec. 19,,,The FBI office in Sacramento ends its investigation. (Via FBI affidavit published by Al Jazeera America),
Lady Gaga Concert Fundraiser,1/2/2013,Jan. 2,,,Ron Calderon invites the agent to a Lady Gaga concert fundraiser benefitting his 2014 campaign for controller and state Sen. Ricardo Lara's 2016 race. (Via FBI affidavit published by Al Jazeera America),
Money for Californians for Diversity,1/12/2013,Jan. 12,,,"The undercover agent is given an invoice for $25,000 for Californains for Diversity. (Via FBI affidavit published by Al Jazeera America)",
FBI listens to Calderon's phone calls,3/8/2013,March 8,,,Judge Audrey B. Collins allows the feds to intercept wire and electronic communications from Ron Calderon's cell phone. (Via FBI affidavit published by Al Jazeera America),
Money for Miami,3/9/2013,March 9,,,"Ron Calderon asks the agent to write a $3,200 check to his officeholder account so he can buy a plane ticket to Miami. A day later, the agent mails him the check. (Via FBI affidavit published by Al Jazeera America)",
FBI looks at more emails,3/11/2013,March 11,,,Judge Abrams authorizes a follow up search of the AOL email account and a search of Ron Calderon's i-cloud emails. (Via FBI affidavit published by Al Jazeera America),
A trip to Miami ,3/21/2013,March 21,,,Ron and Tom Calderon fly to Miami to meet with a third undercover agent who is posing as an investor in the film studio. They talk to him about hiring Tom Calderon as a consultant. (Via FBI affidavit published by Al Jazeera America),
Californians for Diversity and an envelope of cash,3/26/2013,March 26,,,"This third undercover agent and the Calderons agree to pay Tom Calderon's consulting fee through Californians for Diversity. When the agent drops off Ron Calderon at the airport, he hands him an envelope containing $3,000 in cash. (Via FBI affidavit published by Al Jazeera America)",
Feds investigate Pacific Hospital,4/3/2013,April 3,,,Judge Jean P. Rosennbluth authora izes search for information on Michael Drobot of Pacific Hospital in Long Beach. (Via FBI affidavit published by Al Jazeera America),
More taps on Calderon's phone,4/9/2013,April 9,,,Judge Collins renews order to tap Calderon's cell.(Via affidavit published by Al Jazeera America),
Feds get affidavit to search,5/2/2013,May 2,,,Affidavit to search Calderon's office is signed. (Via FBI affidavit published by Al Jazeera America),
Ron Calderon's offices raided by FBI,6/4/2013,June,http://a.scpr.org/i/efd7b49515866a3442811b2b5a50645a/62223-lead.jpg,"An FBI agent carries out a box as he leaves the Capitol office of State Sen. Ron Calderon, D-Montebello, in Sacramento, Calif., Tuesday, June 4, 2013.","L.A. State Sen. Ron Calderon's offices in the state capitol and at the Legislative Office Building in Sacramento are raided by FBI agents. Several agents left the Capitol more than six hours later carrying at least a half-dozen boxes, stuffed black bags and what appeared to be a computer hard drive. Calderon's denies any wrongdoing.",http://www.scpr.org/news/2013/06/04/37578/fbi-raids-office-of-calif-state-lawmaker/
