"year","n","category"
2015-09-01,75.9881221658823,"2014-15"
2015-08-01,79.1057942653175,"2014-15"
2015-07-01,76.0412383682952,"2014-15"
2015-06-01,76.3204425882736,"2014-15"
2015-05-01,77.7675326788523,"2014-15"
2015-04-01,80.82009003634,"2014-15"
2015-03-01,82.0688412326545,"2014-15"
2015-02-01,79.0863093623846,"2014-15"
2015-01-01,75.216211440179,"2014-15"
2014-12-01,69.4676028393116,"2014-15"
2014-11-01,87.2484677550578,"2014-15"
2014-10-01,99.0084804924179,"2014-15"
2015-09-01,77.4134985049124,"2015-16"
2015-08-01,79.4408234694299,"2015-16"
2015-07-01,78.0804315773518,"2015-16"
2015-06-01,79.6689448953439,"2015-16"
2015-05-01,74.9162888757217,"2015-16"
2015-04-01,72.8791114908159,"2015-16"
2015-03-01,64.8183657569249,"2015-16"
2015-02-01,66.1657314948542,"2015-16"
2015-01-01,61.1666268410418,"2015-16"
2014-12-01,65.9367107999141,"2015-16"
2014-11-01,69.8562439029619,"2015-16"
2014-10-01,71.7110229606542,"2015-16"
2015-07-01,78.0822963270071,"2016-17"
2015-06-01,79.1838068646049,"2016-17"
2015-05-01,77.2515880999297,"2016-17"
2015-04-01,73.7925388010822,"2016-17"
2015-03-01,68.0271733888192,"2016-17"
2015-02-01,58.0948312686886,"2016-17"
2015-01-01,57.4775047884141,"2016-17"
2014-12-01,63.0568684460735,"2016-17"
2014-11-01,68.2037590773174,"2016-17"
2014-10-01,74.2569345881964,"2016-17"
