title,date,display date,photo url,caption,body,read more url
Born in Boyle Heights,"January 23, 1953",Jan. 23,,,"The oldest of four children, Antonio Villar is born in the Boyle Heights neighborhood of Los Angeles and raised in City Terrace by his single mother. (He would change his surname after marrying Corina Raigosa.)",
First run for mayor,"June 5, 2001",June 5,http://a.scpr.org/i/44582df51e028cbdb733382f2b9b129f/56867-full.jpg,"Los Angeles mayoral candidate Antonio Villaraigosa is surrounded by cameras as he casts his vote at his neighborhood polling place June 5, 2001 in Los Angeles, CA. ","After being termed out of the state legislature, where he served as Assembly Speaker, Villaraigosa is defeated in a runoff for L.A. Mayor against James Hahn",
Villaraigosa wins city council seat,"May 23, 2003",May 23,http://a.scpr.org/i/ed9280d428e2ddadd222fae363f95327/56868-full.jpg,"Los Angeles City Councilmember Antonio Villaraigosa gives a speech at the 'Denim Day in L.A. Speak-out and Rally' on April 21, 2004 at the Civic Center in Los Angeles, California.","Villaraigosa is elected to a four-year term on the L.A. City Council. Despite his pledge that he would not run for mayor while representing the 14th District, he declares his candidacy the following year.",
Elected Mayor,"May 17, 2005",May 17,http://a.scpr.org/i/fc4ff69a931f87665644cb4d30a5eb28/56774-full.jpg,"Los Angeles mayoral candidate Councilman Antonio Villaraigosa hugs his wife Corina as they celebrate his victory over incumbent Mayor James Hahn to become the first Latino mayor of Los Angeles, the nation’s second largest city, since 1872 during his victory party on May 17, 2005 in Los Angeles, California.",Villaraigosa defeats James Hahn in a rematch of their 2001 race.,
Inauguration Day,"July 1, 2005",July 1,http://a.scpr.org/i/6fab79de1dab4dba76d3161eb53a5ccb/56782-full.jpg,"City Hall was the scene of the inauguration for Los Angeles Mayor Antonio Villaraigosa on July 1, 2005 in Los Angeles, California.",Villaraigosa is sworn in as the 41st Mayor of Los Angeles.,
,"September 22, 2005",Sept. 22,http://upload.wikimedia.org/wikipedia/commons/a/a3/JetBlue292Landing.jpg,"JetBlue flight 292, an Airbus A320, makes an emergency landing at LAX after front landing gear malfunction. Photo by Andrew Marino.",The mayor appears at LAX to greet passengers from a JetBlue flight that was forced to circle the city after its front landing gear got stuck at a 90 degree angle. ,
Orange Line opens,"October 29, 2005",Oct. 29,http://lametthesource.files.wordpress.com/2012/07/chtsw267352.jpg,A Metro Orange Line Bus,Metro Orange Line opens. Villaraigosa is chair of the Metro Board of Directors. ,
Mayor gets partial control of LAUSD,"September 18, 2006",Sept. 18,http://a.scpr.org/i/fa3ca875034ca91ed95d4b2c850cc64e/56869-full.jpg,"Mayor-elect Antonio Villaraigosa applauds alongside his wife Corina and California Govenor Arnold Schwarzenegger during his inauguration at City Hall July 1, 2005 in Los Angeles, California.","Gov. Arnold Schwarzenegger signs AB 1381, giving Villaraigosa partial control over the Los Angeles Unified School District. ",
Tree-planting initiative begins,"October 1, 2006",Oct. 1,,,Villaraigosa launches a campaign to plant one million trees in Los Angeles.,
Partial control of LAUSD ruled unconstitutional,"December 21, 2006",Dec. 21,,,AB 1381 -- which gave Villaraigosa partial control over the Los Angeles Unified School District -- is ruled unconstitutional.,
Villaraigosa ends 20-year marriage,"June 12, 2007",June 12,http://a.scpr.org/i/fc4ff69a931f87665644cb4d30a5eb28/56774-full.jpg,"Los Angeles mayoral candidate Councilman Antonio Villaraigosa hugs his wife Corina as they celebrate on May 17, 2005","Villaraigosa announces the end of his 20-year marriage to wife Corina. He tells reporters he feels ""a personal sense of failure.""",
Villaraigosa confirms affair,"July 3, 2007",July 3,http://www.bulgarica.com/wp-content/uploads/2010/02/Viaragosa-Salinas.jpg,Mayor Antonio Villaraigosa and Mirthala Salinas,The mayor confirms he's been having an affair with television reporter Mirthala Salinas.,
,"September 26, 2007",Sept. 26,,,"Real estate developers Richard and Melanie Lundquist -- both graduates of LAUSD high schools -- donate $50 million over 10 years to
help fund Villaraigosa¹s Partnership for Los Angeles Schools.",
Ceremony marks start of Pine Tree Wind Farm,"January 31, 2008",Jan. 31,,,"Villaraigosa and other city leaders break ground on the Pine Tree Wind Farm, which remains the largest municipally owned wind project in the nation.",
After-school program begins in city parks,"June 1, 2008",June ,http://a.scpr.org/i/ef2562dcf2035618da2790d1694c2d53/56870-full.jpg,"Tre Dunwith, a former gang member, shows Kevin Simmons and Tyler Babbit his techniques with a speed ball. The boys are participating in Summer Nights, a program meant to get teens off the street and distance them from gang violence.","Villaraigosa launches Summer Night Lights in eight city parks. The program provides after-school activities and sporting events late into the event in an effort to reduce violent crime. By 2012, the program had expanded to 32 public parks.",
,"July 1, 2008",July 1,,,Roosevelt High School and Santee Education Complex open the school year under administration of Villaraigosa¹s Partnership for Los Angeles Schools. Ten LA Unified campuses vote to join the Partnership the first year. The group now runs 16 schools.,
Half-cent sales tax approved by voters,"November 4, 2008",Nov. 4,,,"Los Angeles County voters approve Villaraigosa's Measure R, a half-cent sales tax that will fund public transit and highway projects. ",
Villaraigosa wins second term,"March 3, 2009",March 3,http://a.scpr.org/i/649786494611ecdfe57a7e971ee1a2b1/56777-full.jpg,"Los Angeles Mayor Antonio Villaraigosa talks to reporters after voting in his reelection bid on March 3, 2009 in Los Angeles, California. The mayor is widely expected to easily beat his 9 opponents for the job.","Facing token opposition, Villaraigosa is elected to a second term.",
Villaraigosa begins second term,"July 1, 2009",July 1,http://a.scpr.org/i/6fab79de1dab4dba76d3161eb53a5ccb/56782-full.jpg,Villaraigosa's second inauguration on the steps of Los Angeles City Hall.,"Villaraigosa begins his second term. During his second inaugural address, Villaraigosa announced that the city of Los Angeles would end its reliance on coal by the year 2020.",
Bratton leaves LAPD,"August 5, 2009",Aug. 5,http://www.rafu.com/wp-content/uploads/2009/08/bratton-news-conf.jpg,"Accompanied by Los Angeles Mayor Antonio Villaraigosa, right, and L.A. Police Commission President John Mack, left, Chief William Bratton announces his decision to leave the LAPD.",LAPD Chief William Bratton announces he will leave the department.,
