CountyFIPS,CountyName,AssessmentYear,TaxYear,CensusTract,TractNum,EffectiveTaxRate,TotalTaxesPaid,TaxesPaidPerHouse,WhatTheyWouldPayPerHouse,TotalPropertyTaxSavings,TaxSavingsPerHouse,AvgAssessedValue,AvgMarketValue,HosuingUnits
1,Alameda County,2018,2017,6001400500,400500,1.70%,7846386,6373.99,11185.36,5922788,4811,374900,1118500,1231
1,Alameda County,2018,2017,6001400600,400600,1.70%,4548452,6630.40,10803.35,2862649,4173,397000,1080300,686
1,Alameda County,2018,2017,6001400700,400700,1.70%,9025478,6123.12,9579.30,5094404,3456,356000,957900,1474
1,Alameda County,2018,2017,6001400800,400800,1.70%,6976133,6228.69,8612.07,2669388,2383,362100,861200,1120
1,Alameda County,2018,2017,6001400900,400900,1.80%,5099384,5729.64,8514.42,2478454,2785,318300,851400,890
1,Alameda County,2018,2017,6001401000,401000,1.80%,11824524,5588.15,8572.40,6314664,2984,319300,857200,2116
1,Alameda County,2018,2017,6001401100,401100,1.70%,9842207,7101.16,10401.20,4573855,3300,425200,1040100,1386
1,Alameda County,2018,2017,6001401200,401200,1.60%,7492480,7552.90,11514.23,3929635,3961,469100,1151400,992
1,Alameda County,2018,2017,6001401300,401300,1.60%,3173768,7084.30,7550.29,208762,466,442800,755000,448
1,Alameda County,2018,2017,6001401400,401400,1.90%,5607048,4833.66,7509.37,3103823,2676,253100,750900,1160
1,Alameda County,2018,2017,6001401500,401500,1.80%,3683698,5239.97,6927.72,1186488,1688,291100,692800,703
1,Alameda County,2018,2017,6001401600,401600,1.90%,2480998,4577.49,7062.35,1346793,2485,239700,706200,542
1,Alameda County,2018,2017,6001401700,401700,1.60%,6006734,6438.09,7124.04,639998,686,402400,712400,933
1,Alameda County,2018,2017,6001401800,401800,2.00%,2574216,4500.38,7523.52,1729237,3023,230800,752400,572
1,Alameda County,2018,2017,6001402200,402200,1.90%,3043556,4831.04,7801.04,1871100,2970,258300,780100,630
1,Alameda County,2018,2017,6001402400,402400,1.90%,2890254,4769.40,8344.30,2166389,3575,252300,834400,606
1,Alameda County,2018,2017,6001402500,402500,1.90%,1279556,4101.14,8155.80,1265055,4055,221700,815600,312
1,Alameda County,2018,2017,6001402600,402600,1.60%,1464221,6284.21,6691.33,94859,407,387900,669100,233
1,Alameda County,2018,2017,6001402700,402700,1.80%,2625821,5293.99,8027.88,1356006,2734,290900,802800,496
1,Alameda County,2018,2017,6001402800,402800,1.60%,1678208,6659.55,6768.73,27511,109,413600,676900,252
1,Alameda County,2018,2017,6001403000,403000,1.70%,2016497,4979.01,6101.61,454655,1123,296400,610200,405
1,Alameda County,2018,2017,6001403100,403100,1.60%,1910326,6182.29,6769.39,181416,587,386400,676900,309
1,Alameda County,2018,2017,6001403300,403300,1.60%,6137028,6556.65,7459.53,845088,903,399800,746000,936
1,Alameda County,2018,2017,6001403400,403400,1.60%,2683387,6544.85,7564.60,418100,1020,411600,756500,410
1,Alameda County,2018,2017,6001403501,403501,1.60%,3988721,6361.60,9124.90,1732590,2763,387900,912500,627
1,Alameda County,2018,2017,6001403502,403502,1.80%,2621535,4993.40,6349.39,711897,1356,282100,634900,525
1,Alameda County,2018,2017,6001403600,403600,1.70%,3245637,5427.49,6865.86,860146,1438,323100,686600,598
1,Alameda County,2018,2017,6001403701,403701,1.70%,1483090,5259.19,9211.89,1114664,3953,309400,921200,282
