CountyFIPS,CountyName,AssessmentYear,TaxYear,CensusTract,TractNum,EffectiveTaxRate,TotalTaxesPaid,TaxesPaidPerHouse,WhatTheyWouldPayPerHouse,TotalPropertyTaxSavings,TaxSavingsPerHouse,AvgAssessedValue,AvgMarketValue,HosuingUnits
1,Alameda County,2018,2017,6001403702,403702,1.60%,2997183,6720.14,8269.72,691114,1550,422700,827000,446
1,Alameda County,2018,2017,6001403900,403900,1.70%,6722586,5653.98,8003.91,2794060,2350,336500,800400,1189
1,Alameda County,2018,2017,6001404000,404000,1.70%,3755312,5426.75,7711.29,1580900,2285,319200,771100,692
1,Alameda County,2018,2017,6001404102,404102,1.70%,2899571,5470.89,7643.81,1151647,2173,321800,764400,530
1,Alameda County,2018,2017,6001404800,404800,1.60%,6127948,7051.72,10065.11,2618634,3013,435300,1006500,869
1,Alameda County,2018,2017,6001404900,404900,1.60%,10748390,6764.25,10076.91,5263827,3313,415000,1007700,1589
1,Alameda County,2018,2017,6001405200,405200,1.70%,8115942,6400.59,10628.37,5360828,4228,381000,1062800,1268
1,Alameda County,2018,2017,6001405301,405301,1.70%,2679217,6187.57,7703.95,656595,1516,372700,770400,433
1,Alameda County,2018,2017,6001405302,405302,1.90%,1210376,4803.08,9035.26,1066510,4232,256800,903500,252
1,Alameda County,2018,2017,6001405401,405401,1.80%,3006642,4826.07,8342.85,2190953,3517,263700,834300,623
1,Alameda County,2018,2017,6001405402,405402,1.80%,3150794,5081.93,8138.63,1895156,3057,276200,813900,620
1,Alameda County,2018,2017,6001405500,405500,1.80%,4833412,4799.81,7538.77,2758131,2739,262300,753900,1007
1,Alameda County,2018,2017,6001405600,405600,1.80%,4739766,5307.69,7911.32,2325045,2604,296500,791100,893
1,Alameda County,2018,2017,6001405700,405700,1.80%,4444986,4779.55,7108.24,2165673,2329,259800,710800,930
1,Alameda County,2018,2017,6001405800,405800,1.90%,5200501,4530.05,6723.98,2518628,2194,241000,672400,1148
1,Alameda County,2018,2017,6001405901,405901,1.90%,3398659,4374.08,6311.28,1505208,1937,227800,631100,777
1,Alameda County,2018,2017,6001405902,405902,1.90%,3190409,4376.42,6541.88,1578620,2165,232800,654200,729
1,Alameda County,2018,2017,6001406000,406000,1.80%,2163492,4744.50,7555.66,1281890,2811,260700,755600,456
1,Alameda County,2018,2017,6001406100,406100,1.80%,4507455,4690.38,6641.15,1874694,1951,254900,664100,961
1,Alameda County,2018,2017,6001406201,406201,1.90%,3178969,4261.35,6146.61,1406399,1885,221900,614700,746
1,Alameda County,2018,2017,6001406202,406202,1.90%,2407187,4150.32,5373.40,709384,1223,213900,537300,580
1,Alameda County,2018,2017,6001406300,406300,1.90%,4167464,4452.42,6248.16,1680816,1796,239400,624800,936
1,Alameda County,2018,2017,6001406400,406400,1.80%,2765848,4860.89,7142.71,1298353,2282,270000,714300,569
1,Alameda County,2018,2017,6001406500,406500,1.90%,7196981,4364.45,5996.67,2691523,1632,233400,599700,1649
1,Alameda County,2018,2017,6001406601,406601,1.80%,5970708,4561.27,6994.88,3185584,2434,250600,699500,1309
1,Alameda County,2018,2017,6001406602,406602,1.80%,3535267,5276.52,7098.76,1220905,1822,298100,709900,670
1,Alameda County,2018,2017,6001406700,406700,1.60%,12971760,6881.57,9609.24,5141662,2728,424800,960900,1885
1,Alameda County,2018,2017,6001406800,406800,1.60%,8635491,6663.19,9153.96,3228042,2491,406300,915400,1296
1,Alameda County,2018,2017,6001406900,406900,1.60%,8074748,6368.10,8649.63,2892985,2282,388300,865000,1268
1,Alameda County,2018,2017,6001407000,407000,1.80%,7833128,4621.31,6187.63,2654901,1566,252500,618800,1695
1,Alameda County,2018,2017,6001407101,407101,1.90%,3860460,4256.29,5790.20,1391254,1534,222800,579000,907
1,Alameda County,2018,2017,6001407102,407102,1.90%,4568223,4122.95,5946.18,2020145,1823,219300,594600,1108
1,Alameda County,2018,2017,6001407200,407200,2.00%,4651798,3925.57,5363.21,1703610,1438,197300,536300,1185
1,Alameda County,2018,2017,6001407300,407300,2.20%,1786891,3384.26,4509.14,593934,1125,157400,450900,528
1,Alameda County,2018,2017,6001407400,407400,2.00%,3421518,3651.57,4990.69,1254762,1339,179900,499100,937
1,Alameda County,2018,2017,6001407500,407500,2.10%,2847468,3698.01,4674.25,751707,976,175300,467400,770
1,Alameda County,2018,2017,6001407600,407600,1.90%,9373167,4726.76,6598.57,3711791,1872,255500,659900,1983
1,Alameda County,2018,2017,6001407700,407700,1.80%,8105488,5136.56,7135.68,3154609,1999,290200,713600,1578
1,Alameda County,2018,2017,6001407800,407800,1.80%,3891176,5449.83,7238.71,1277264,1789,311400,723900,714
1,Alameda County,2018,2017,6001407900,407900,1.60%,7007163,6536.53,7769.93,1322204,1233,401000,777000,1072
1,Alameda County,2018,2017,6001408000,408000,1.60%,8216835,8640.21,11007.87,2251652,2368,557400,1100800,951
1,Alameda County,2018,2017,6001408100,408100,1.60%,21354066,8194.19,9597.01,3655738,1403,509000,959700,2606
1,Alameda County,2018,2017,6001408200,408200,1.80%,6948422,5068.14,7039.09,2702166,1971,283100,703900,1371
1,Alameda County,2018,2017,6001408300,408300,1.70%,8098606,5349.15,6759.75,2135659,1411,307400,676000,1514
1,Alameda County,2018,2017,6001408400,408400,2.10%,3162593,3404.30,4518.71,1035289,1114,159100,451900,929
1,Alameda County,2018,2017,6001408500,408500,2.10%,5101625,3423.91,4306.32,1314789,882,160000,430600,1490
1,Alameda County,2018,2017,6001408600,408600,2.10%,5216215,3482.12,4615.41,1697670,1133,164300,461500,1498
1,Alameda County,2018,2017,6001408700,408700,2.10%,6964074,3629.01,4871.17,2383696,1242,175300,487100,1919
1,Alameda County,2018,2017,6001408800,408800,2.20%,4235940,3369.88,4036.89,838434,667,155300,403700,1257
1,Alameda County,2018,2017,6001409200,409200,2.10%,2869036,3469.21,4591.45,928097,1122,168400,459100,827
1,Alameda County,2018,2017,6001409300,409300,2.20%,4620839,3415.25,4488.44,1452018,1073,157400,448800,1353
1,Alameda County,2018,2017,6001409400,409400,2.00%,4600570,4197.60,4792.59,652108,595,212000,479300,1096
1,Alameda County,2018,2017,6001409500,409500,2.20%,3193511,3448.72,4193.29,689474,745,158900,419300,926
1,Alameda County,2018,2017,6001409600,409600,2.10%,4311691,3479.98,4351.20,1079445,871,162600,435100,1239
1,Alameda County,2018,2017,6001409700,409700,2.10%,4599248,3688.25,4438.82,935965,751,176500,443900,1247
1,Alameda County,2018,2017,6001409800,409800,1.80%,5664969,4926.06,7011.54,2398299,2085,273700,701200,1150
1,Alameda County,2018,2017,6001409900,409900,1.60%,9144197,6844.46,9009.27,2892188,2165,417300,900900,1336
1,Alameda County,2018,2017,6001410000,410000,1.60%,7724030,6579.24,8669.36,2453795,2090,403600,866900,1174
1,Alameda County,2018,2017,6001410100,410100,1.90%,3643119,4311.38,5609.80,1097164,1298,230600,561000,845
1,Alameda County,2018,2017,6001410200,410200,2.00%,3487350,3811.31,5170.89,1244011,1360,190600,517100,915
1,Alameda County,2018,2017,6001410300,410300,2.10%,3045649,3612.87,4557.03,795926,944,172000,455700,843
1,Alameda County,2018,2017,6001410400,410400,1.90%,5464225,4083.88,4935.51,1139485,852,214900,493600,1338
1,Alameda County,2018,2017,6001410500,410500,1.80%,2166489,4868.52,8700.28,1705137,3832,266000,870000,445
1,Alameda County,2018,2017,6001420200,420200,2.00%,6440164,7768.59,10616.57,2360973,2848,388400,1061700,829
1,Alameda County,2018,2017,6001420300,420300,2.00%,10705346,6996.96,8443.59,2213346,1447,349800,844400,1530
1,Alameda County,2018,2017,6001420500,420500,2.00%,6350675,7928.43,10677.95,2202363,2750,394400,1067800,801
1,Alameda County,2018,2017,6001421900,421900,1.80%,11116127,7112.05,11071.05,6187921,3959,395100,1107100,1563
1,Alameda County,2018,2017,6001422000,422000,1.70%,2821530,5990.51,9572.69,1687209,3582,344300,957300,471
1,Alameda County,2018,2017,6001422100,422100,1.90%,5939066,6505.00,10344.03,3505037,3839,342400,1034400,913
1,Alameda County,2018,2017,6001422200,422200,1.90%,8497732,6841.97,10694.13,4784383,3852,363900,1069400,1242
1,Alameda County,2018,2017,6001422800,422800,1.90%,2016431,7332.48,10902.92,981872,3570,383900,1090300,275
1,Alameda County,2018,2017,6001423000,423000,1.90%,9671295,6656.09,11504.98,7045439,4849,350300,1150500,1453
1,Alameda County,2018,2017,6001423100,423100,1.80%,8774350,6833.61,10178.33,4294621,3345,373400,1017800,1284
1,Alameda County,2018,2017,6001423200,423200,1.80%,6066007,7282.12,10707.15,2853048,3425,397900,1070700,833
1,Alameda County,2018,2017,6001423300,423300,1.90%,9998711,6938.73,9876.07,4232713,2937,373100,987600,1441
1,Alameda County,2018,2017,6001423400,423400,1.90%,12643563,7333.85,11143.57,6567948,3810,388000,1114400,1724
1,Alameda County,2018,2017,6001423901,423901,2.10%,4439329,7206.70,11698.91,2767201,4492,349800,1169900,616
1,Alameda County,2018,2017,6001424001,424001,2.00%,9306244,7967.67,10895.58,3419798,2928,408600,1089600,1168
1,Alameda County,2018,2017,6001424002,424002,2.00%,5295555,6380.19,9542.66,2624853,3162,314300,954300,830
1,Alameda County,2018,2017,6001425101,425101,1.30%,1924220,3300.55,4982.39,980515,1682,248200,498200,583
1,Alameda County,2018,2017,6001425102,425102,1.30%,2795299,4552.60,6524.34,1210643,1972,361300,652400,614
1,Alameda County,2018,2017,6001425103,425103,1.20%,4927531,5929.64,7739.75,1504204,1810,486000,774000,831
1,Alameda County,2018,2017,6001425104,425104,1.30%,4519111,4510.09,7108.16,2603267,2598,355100,710800,1002
1,Alameda County,2018,2017,6001427200,427200,1.60%,8380834,6003.46,9079.46,4294094,3076,377600,907900,1396
1,Alameda County,2018,2017,6001427300,427300,1.50%,11499960,7287.68,9479.58,3458813,2192,492400,948000,1578
1,Alameda County,2018,2017,6001427600,427600,1.50%,3924553,6519.19,9816.34,1984881,3297,437500,981600,602
1,Alameda County,2018,2017,6001427700,427700,1.50%,9158613,6290.26,9303.90,4387859,3014,425000,930400,1456
1,Alameda County,2018,2017,6001427800,427800,1.50%,10832148,7107.71,11129.48,6129177,4022,480300,1112900,1524
1,Alameda County,2018,2017,6001427900,427900,1.50%,9760805,6835.30,11680.58,6919061,4845,458700,1168100,1428
1,Alameda County,2018,2017,6001428000,428000,1.50%,5047915,6659.52,9675.21,2285897,3016,438100,967500,758
1,Alameda County,2018,2017,6001428100,428100,1.50%,11094730,6823.33,11345.16,7352501,4522,467400,1134500,1626
1,Alameda County,2018,2017,6001428200,428200,1.50%,14159228,6343.74,9907.76,7954899,3564,431500,990800,2232
1,Alameda County,2018,2017,6001428301,428301,1.50%,16193749,6490.48,8833.34,5845446,2343,429800,883300,2495
1,Alameda County,2018,2017,6001428400,428400,1.60%,6461859,5623.90,9919.59,4935745,4296,360500,992000,1149
1,Alameda County,2018,2017,6001428500,428500,1.50%,4288884,6179.95,11665.03,3806650,5485,423300,1166500,694
1,Alameda County,2018,2017,6001428600,428600,1.60%,4453564,4732.80,9115.34,4123973,4383,305300,911500,941
1,Alameda County,2018,2017,6001430102,430102,1.30%,5246057,6085.91,10669.65,3951181,4584,457600,1067000,862
1,Alameda County,2018,2017,6001430200,430200,1.30%,15713155,6270.21,9506.44,8109993,3236,471400,950600,2506
1,Alameda County,2018,2017,6001430300,430300,1.30%,8175384,6327.70,9682.78,4334768,3355,475800,968300,1292
1,Alameda County,2018,2017,6001430400,430400,1.30%,4509263,6185.55,9237.73,2225042,3052,465100,923800,729
1,Alameda County,2018,2017,6001430500,430500,1.30%,7274771,4657.34,7117.17,3842250,2460,352800,711700,1562
1,Alameda County,2018,2017,6001430600,430600,1.30%,12262375,5669.15,8365.37,5831928,2696,423100,836500,2163
1,Alameda County,2018,2017,6001430700,430700,1.40%,7272100,5703.61,8389.60,3424639,2686,422500,839000,1275
1,Alameda County,2018,2017,6001430800,430800,1.40%,9261552,5235.47,7744.66,4438757,2509,382200,774500,1769
1,Alameda County,2018,2017,6001430900,430900,1.40%,4800190,5183.79,7202.97,1869764,2019,372900,720300,926
1,Alameda County,2018,2017,6001431000,431000,1.40%,3888658,5233.73,7168.89,1437828,1935,376500,716900,743
1,Alameda County,2018,2017,6001431100,431100,1.40%,2632209,4538.29,6746.77,1280919,2208,321900,674700,580
1,Alameda County,2018,2017,6001431200,431200,1.40%,7387377,4423.58,6381.98,3270532,1958,320500,638200,1670
1,Alameda County,2018,2017,6001432100,432100,1.40%,7202225,5439.75,7845.12,3184708,2405,400000,784500,1324
1,Alameda County,2018,2017,6001432200,432200,1.40%,6746095,5458.01,7692.35,2761649,2234,401300,769200,1236
1,Alameda County,2018,2017,6001432300,432300,1.50%,8534061,5556.03,6808.95,1924490,1253,383200,680900,1536
1,Alameda County,2018,2017,6001432400,432400,1.40%,6232309,4211.02,6175.51,2907439,1964,294500,617600,1480
1,Alameda County,2018,2017,6001432501,432501,1.40%,5460592,4146.24,6245.41,2764619,2099,289900,624500,1317
1,Alameda County,2018,2017,6001432502,432502,1.40%,5215342,4303.09,5985.48,2039056,1682,307400,598500,1212
1,Alameda County,2018,2017,6001432600,432600,1.40%,7477446,4070.47,5900.07,3360979,1830,286700,590000,1837
1,Alameda County,2018,2017,6001432700,432700,1.40%,4896608,5357.34,8087.74,2495587,2730,393900,808800,914
1,Alameda County,2018,2017,6001432800,432800,1.30%,8082145,6017.98,9228.63,4311901,3211,452500,922900,1343
1,Alameda County,2018,2017,6001433000,433000,1.40%,5551203,4402.22,6809.22,3035229,2407,326100,680900,1261
1,Alameda County,2018,2017,6001433102,433102,1.40%,5171220,4173.70,6902.58,3381077,2729,304600,690300,1239
1,Alameda County,2018,2017,6001433103,433103,1.40%,2776173,3792.59,6130.84,1711602,2338,270900,613100,732
1,Alameda County,2018,2017,6001433104,433104,1.40%,4315380,4416.97,6217.94,1759552,1801,315500,621800,977
1,Alameda County,2018,2017,6001433200,433200,1.40%,7448892,4345.91,6784.45,4179651,2439,314900,678400,1714
1,Alameda County,2018,2017,6001433300,433300,1.30%,9426596,4189.60,6754.18,5770303,2565,312700,675400,2250
1,Alameda County,2018,2017,6001433400,433400,1.40%,12666054,5826.15,7332.27,3274294,1506,425300,733200,2174
1,Alameda County,2018,2017,6001433500,433500,1.30%,5938337,4229.58,6974.85,3854350,2745,327900,697500,1404
1,Alameda County,2018,2017,6001433600,433600,1.30%,5670126,4058.79,6732.91,3735753,2674,317100,673300,1397
1,Alameda County,2018,2017,6001433700,433700,1.40%,2635920,3620.77,5881.21,1645604,2260,264300,588100,728
1,Alameda County,2018,2017,6001433800,433800,1.30%,7515240,4051.34,6500.60,4543367,2449,302300,650100,1855
1,Alameda County,2018,2017,6001433900,433900,1.30%,3020296,3892.13,5958.84,1603764,2067,290500,595900,776
1,Alameda County,2018,2017,6001434000,434000,1.40%,5122537,3998.86,6184.61,2799946,2186,291900,618500,1281
1,Alameda County,2018,2017,6001435102,435102,1.30%,7757709,5695.82,8755.55,4167349,3060,455700,875600,1362
1,Alameda County,2018,2017,6001435104,435104,1.30%,3341028,3949.21,7267.24,2807056,3318,306100,726700,846
1,Alameda County,2018,2017,6001435200,435200,1.30%,7081963,5001.39,7740.96,3879238,2740,376000,774100,1416
1,Alameda County,2018,2017,6001435300,435300,1.30%,4851020,4331.27,6870.69,2844151,2539,333200,687100,1120
1,Alameda County,2018,2017,6001435400,435400,1.30%,4363303,4303.06,5987.32,1707843,1684,338800,598700,1014
1,Alameda County,2018,2017,6001435500,435500,1.40%,4009239,4206.97,6588.43,2269531,2381,311600,658800,953
1,Alameda County,2018,2017,6001435601,435601,1.40%,4960544,3740.98,5536.48,2380827,1795,265300,553600,1326
1,Alameda County,2018,2017,6001435602,435602,1.40%,6156976,4320.68,6371.56,2922497,2051,315400,637200,1425
1,Alameda County,2018,2017,6001435700,435700,1.30%,4957720,4155.67,6548.07,2854127,2392,310100,654800,1193
1,Alameda County,2018,2017,6001435800,435800,1.30%,6550414,4143.21,6593.18,3873408,2450,311500,659300,1581
1,Alameda County,2018,2017,6001435900,435900,1.30%,6605703,4131.15,6959.19,4522036,2828,308300,695900,1599
1,Alameda County,2018,2017,6001436000,436000,1.30%,5664062,4083.68,6789.64,3753174,2706,304800,679000,1387
1,Alameda County,2018,2017,6001436100,436100,1.30%,5631933,4199.80,6560.62,3165857,2361,315800,656100,1341
1,Alameda County,2018,2017,6001436200,436200,1.40%,2832855,3664.75,5754.62,1615466,2090,263700,575500,773
1,Alameda County,2018,2017,6001436300,436300,1.30%,12213456,5720.59,6609.42,1897648,889,433400,660900,2135
1,Alameda County,2018,2017,6001436401,436401,1.30%,10229410,4757.87,7128.86,5097632,2371,363200,712900,2150
1,Alameda County,2018,2017,6001436402,436402,1.30%,6044034,6007.99,8609.39,2617015,2601,473100,860900,1006
1,Alameda County,2018,2017,6001436500,436500,1.30%,3762813,4237.40,6364.50,1888859,2127,333700,636400,888
1,Alameda County,2018,2017,6001436601,436601,1.30%,4515491,3561.11,6126.78,3253270,2566,271800,612700,1268
1,Alameda County,2018,2017,6001436602,436602,1.30%,2861141,5278.86,6622.18,728078,1343,422300,662200,542
1,Alameda County,2018,2017,6001436700,436700,1.30%,2883476,3564.25,6023.09,1989206,2459,266000,602300,809
1,Alameda County,2018,2017,6001436800,436800,1.30%,3166193,4018.01,6598.85,2033698,2581,316400,659900,788
1,Alameda County,2018,2017,6001436900,436900,1.30%,5390050,3861.07,6449.34,3613233,2588,288100,644900,1396
1,Alameda County,2018,2017,6001437000,437000,1.30%,3928770,3467.58,6754.81,3724430,3287,268800,675500,1133
1,Alameda County,2018,2017,6001437101,437101,1.30%,11963962,6428.78,8133.02,3171597,1704,502200,813300,1861
1,Alameda County,2018,2017,6001437102,437102,1.30%,3444773,3403.93,6681.56,3316970,3278,261800,668200,1012
1,Alameda County,2018,2017,6001437200,437200,1.20%,9416649,5545.73,7616.08,3515451,2070,447200,761600,1698
1,Alameda County,2018,2017,6001437300,437300,1.30%,2901925,4122.05,6963.02,2000039,2841,322000,696300,704
1,Alameda County,2018,2017,6001437400,437400,1.30%,3402374,3751.24,6401.42,2403711,2650,290800,640100,907
1,Alameda County,2018,2017,6001437500,437500,1.30%,2565862,3899.49,6586.04,1767751,2687,302300,658600,658
1,Alameda County,2018,2017,6001437600,437600,1.30%,2415196,3510.46,6626.80,2144040,3116,270000,662700,688
1,Alameda County,2018,2017,6001437701,437701,1.30%,1700586,3239.21,5490.95,1182163,2252,245400,549100,525
1,Alameda County,2018,2017,6001437702,437702,1.30%,2172301,4226.27,6083.69,954716,1857,322600,608400,514
1,Alameda County,2018,2017,6001437800,437800,1.30%,5317107,4203.25,6685.46,3139994,2482,328400,668500,1265
1,Alameda County,2018,2017,6001437900,437900,1.30%,1492668,3377.08,6095.50,1201543,2718,257800,609600,442
1,Alameda County,2018,2017,6001438000,438000,1.40%,4275416,4869.49,7598.90,2396416,2729,360700,759900,878
1,Alameda County,2018,2017,6001438100,438100,1.30%,9306878,4867.61,7375.29,4794670,2508,368800,737500,1912
1,Alameda County,2018,2017,6001438201,438201,1.30%,3764478,3346.20,6041.09,3031743,2695,255400,604100,1125
1,Alameda County,2018,2017,6001438203,438203,1.30%,5023617,4712.59,7439.18,2906551,2727,365300,743900,1066
1,Alameda County,2018,2017,6001438204,438204,1.30%,7453958,4550.65,7116.02,4202079,2565,361200,711600,1638
1,Alameda County,2018,2017,6001438300,438300,1.30%,3295483,3727.92,6239.28,2220040,2511,289000,623900,884
1,Alameda County,2018,2017,6001438400,438400,1.30%,2555863,3831.88,7259.58,2286276,3428,297000,726000,667
1,Alameda County,2018,2017,6001440100,440100,1.50%,2870963,4721.98,7996.30,1990788,3274,312700,799600,608
1,Alameda County,2018,2017,6001440200,440200,1.80%,7261572,5025.31,7233.82,3191297,2209,277600,723400,1445
1,Alameda County,2018,2017,6001440301,440301,1.60%,11729827,6627.02,9170.74,4502379,2544,427500,917100,1770
1,Alameda County,2018,2017,6001440304,440304,1.60%,6142510,5440.66,8390.94,3330865,2950,340000,839100,1129
1,Alameda County,2018,2017,6001440305,440305,1.70%,5591602,5824.59,10157.62,4159709,4333,350900,1015800,960
1,Alameda County,2018,2017,6001440306,440306,1.60%,4994812,4999.81,6587.04,1585644,1587,310500,658700,999
1,Alameda County,2018,2017,6001440307,440307,1.60%,6863596,4930.74,8522.63,4999900,3592,306300,852300,1392
1,Alameda County,2018,2017,6001440308,440308,1.60%,8428569,6370.80,9519.86,4166209,3149,400700,952000,1323
1,Alameda County,2018,2017,6001440331,440331,1.50%,3598481,5230.35,9543.57,2967492,4313,346400,954400,688
1,Alameda County,2018,2017,6001440333,440333,1.50%,5809327,7261.66,10000.54,2191107,2739,494000,1000100,800
1,Alameda County,2018,2017,6001440334,440334,1.60%,5614642,5488.41,9210.80,3808006,3722,334700,921100,1023
1,Alameda County,2018,2017,6001440336,440336,1.70%,5732456,4833.44,9395.37,5410455,4562,286000,939500,1186
1,Alameda County,2018,2017,6001441200,441200,1.30%,13532920,6481.28,11308.81,10079873,4828,514400,1130900,2088
1,Alameda County,2018,2017,6001441401,441401,1.30%,10827652,5460.24,11140.90,11264743,5681,423300,1114100,1983
1,Alameda County,2018,2017,6001441501,441501,1.50%,13420570,7673.28,11251.14,6257672,3578,518500,1125100,1749
1,Alameda County,2018,2017,6001441522,441522,1.30%,7961701,5397.76,9976.32,6753364,4579,418400,997600,1475
1,Alameda County,2018,2017,6001441523,441523,1.30%,4968693,4119.98,10679.60,7910907,6560,312100,1068000,1206
1,Alameda County,2018,2017,6001441601,441601,1.30%,7193920,4999.25,10472.36,7875805,5473,381600,1047200,1439
1,Alameda County,2018,2017,6001441602,441602,1.30%,7648090,5143.30,10028.34,7264053,4885,395600,1002800,1487
1,Alameda County,2018,2017,6001441700,441700,1.30%,10068284,5103.03,8981.49,7652198,3878,395600,898100,1973
1,Alameda County,2018,2017,6001441800,441800,1.30%,9450753,5372.80,10938.29,9789691,5565,416500,1093800,1759
1,Alameda County,2018,2017,6001441921,441921,1.40%,1980002,3214.29,9515.09,3881293,6301,228000,951500,616
1,Alameda County,2018,2017,6001441923,441923,1.30%,1788773,4757.37,6912.56,810351,2155,366000,691300,376
1,Alameda County,2018,2017,6001441924,441924,1.30%,12659559,5780.62,10091.63,9441111,4311,455200,1009200,2190
1,Alameda County,2018,2017,6001441925,441925,1.30%,3994658,4458.32,5933.17,1321464,1475,345600,593300,896
1,Alameda County,2018,2017,6001441926,441926,1.30%,3050952,5084.92,9482.71,2638676,4398,394200,948300,600
1,Alameda County,2018,2017,6001441927,441927,1.30%,4596939,6153.87,9153.85,2240984,3000,492300,915400,747
1,Alameda County,2018,2017,6001442301,442301,1.30%,6057876,6168.92,11400.86,5137773,5232,485700,1140100,982
1,Alameda County,2018,2017,6001442302,442302,1.20%,7357399,7054.07,10363.66,3451899,3310,568900,1036400,1043
1,Alameda County,2018,2017,6001442400,442400,1.30%,9174905,5174.79,9983.13,8525178,4808,398100,998300,1773
1,Alameda County,2018,2017,6001442500,442500,1.30%,9494266,5055.52,10214.32,9688227,5159,385900,1021400,1878
1,Alameda County,2018,2017,6001442700,442700,1.30%,5555040,6363.16,11695.37,4655015,5332,501000,1169500,873
1,Alameda County,2018,2017,6001442800,442800,1.30%,4256803,4682.95,10062.69,4890179,5380,354800,1006300,909
1,Alameda County,2018,2017,6001442900,442900,1.30%,11932539,5723.04,10761.95,10506129,5039,447100,1076200,2085
1,Alameda County,2018,2017,6001443001,443001,1.30%,4160360,5048.98,10352.75,4370302,5304,388400,1035300,824
1,Alameda County,2018,2017,6001443002,443002,1.30%,10025386,5439.71,11473.55,11120359,6034,418400,1147400,1843
1,Alameda County,2018,2017,6001443321,443321,1.30%,3891663,4643.99,8498.87,3230394,3855,360000,849900,838
1,Alameda County,2018,2017,6001444100,444100,1.30%,13649938,5573.68,11092.98,13516770,5519,435400,1109300,2449
1,Alameda County,2018,2017,6001444200,444200,1.30%,8414178,4494.75,9254.27,8909819,4760,343100,925400,1872
1,Alameda County,2018,2017,6001444301,444301,1.30%,5252676,5114.58,10471.09,5501136,5357,396500,1047100,1027
1,Alameda County,2018,2017,6001444302,444302,1.30%,7925851,6588.40,10117.78,4245838,3529,522900,1011800,1203
1,Alameda County,2018,2017,6001444400,444400,1.30%,5456579,4187.70,7973.13,4932413,3785,317300,797300,1303
