title,date,display date,photo url,caption,body,read more url
Authorities find burned pickup near Big Bear,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=34.227416,-116.882&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C34.227416,-116.882&sensor=false",Photo: Google Static Maps API,About 8:30 a.m. reports surface that authorities are investigating a burned pickup truck near the Big Bear ski area in the San Bernardino Mountains. A San Bernardino County sheriff's deputy says there have been no sightings of Dorner but local school officials decide to put schools in lockdown. (AP),http://www.dailynews.com/ci_22538891?source=TOPHEADER
Arizona authorities alerted to search,"February 7, 2013",Feb. 7,,,About 9:30 a.m. authorities in central and northern Arizona are alerted about the manhunt for Dorner. (AP),
Naval Base Point Loma is locked down,"February 7, 2013",Feb. 7,http://a.scpr.org/i/6c38e5149b7b993098682365f4ebd136/54715-wide.jpg,Photo: Point Loma website,"About 9:40 a.m., Naval Base Point Loma in San Diego is locked down after a Navy worker reports seeing someone who resembles Dorner. Two hours later, Navy officials say they don't believe Dorner was on base. (AP)",
"""Multiple weapons at his disposal""","February 7, 2013",Feb. 7,http://a.scpr.org/i/7e6da84f1074cca3a9b94f7b97f2801a/54687-wide.jpg,Photo: Damian Dovarganes/AP,"During a 10 a.m. news conference LAPD Police Chief Charlie Beck describes Dorner's vehicle as a late model Nissan Titan pickup, dark gray, 4-doors, roof rack, black rims and a Department of Defense sticker on the front windshield. Beck says Dorner has multiple weapons at his disposal, including an assault weapon. (KPCC)",http://www.scpr.org/blogs/news/2013/02/07/12449/police-3-officers-shot-riverside-county-suspect-ex/
False alarm in San Diego,"February 7, 2013",Feb. 7,http://a.scpr.org/i/410b0547b9e9ca07c3e8e20bd9e31e10/54695-wide.jpg,Photo: Denis Poroy/Getty Images,San Diego police respond to reports of a man seen in a hotel matching Dorner's description. The reports prove to be false. (KPCC),
Official confirms Dorner attended Norwalk Christian Academy,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=33.90987,-118.099144&zoom=14&size=300x300&maptype=roadmap&markers=color:blue%7C33.90987,-118.099144&sensor=false",Photo: Google Static Maps API,"A Norwalk Christian School official says Dorner's second-grade portrait was in the school's 1987 yearbook. It was not clear if he was pictured in the yearbooks from other years. In his manifesto Dorner mentioned attending Norwalk Christian School, where he described striking a fellow first-grader who taunted him with a racial slur. Dorner described it as his ""first recollection of racism."" (Inland Valley Daily Bulletin)",http://www.dailybulletin.com/breakingnews/ci_22541946/manhunt-ex-lapd-officer-christopher-dorner-touches-many
Big Bear resident notices fire from Dorner's truck,"February 7, 2013",Feb. 7,http://a.scpr.org/i/ec892dc9b01a85a1d7adbaed61c63efa/54737-wide.jpg,Photo: Grant Slater/KPCC,"Randy Linville, a property manager of vacation homes in the upscale neighborhood at the base of the Bear Mountain ski resort, first noticed the fire from Dorner's truck about 11 a.m. above a golf course northwest of the ski resort. ""At first, I thought it was a controlled burn,"" he told KPCC. ""So I didn't pay a lot of attention. ... And then I got text messages from friends mentioning that they think he's in Big Bear.""",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
Officials confirm burned truck is Dorner's,"February 7, 2013",Feb. 7,http://a.scpr.org/i/31949046cf6dc6652628d806e9bc040b/54735-wide.jpg,Photo: Grant Slater/KPCC,Authorities confirm about 2:30 p.m. that the pickup truck found near Bear Mountain ski area at Big Bear Lake belongs to Dorner. (AP),
Door-to-door search starts in Big Bear,"February 7, 2013",Feb. 7,http://a.scpr.org/i/9cd29ec3937649be6444d0fd8ab11340/54728-wide.jpg,Photo: Grant Slater/KPCC,During a 3:30 p.m. news conference San Bernardino County Sheriff John McMahon announces that a door-to-door search for Dorner is under way. (AP),
Agents search Dorner's Las Vegas home,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=36.157835,-115.169678&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C36.157835,-115.169678&sensor=false",Photo: Google Static Maps API,"About 4 p.m., FBI agents and local law enforcement officials serve a search warrant at a Las Vegas-area home belonging to Dorner. Authorities leave with boxes of items from the two-story house but decline to disclose what evidence has been found. (AP)",
