title,date,display date,photo url,caption,body,read more url
1890: Teams meet for the first time as National League rivals,"May 3, 1890",May 3,,,"The two franchises meet for the first time as National League rivals; the Brooklyn Bridegrooms beat the New York Giants, 7-3.",http://dodgers-giants.com/
1938: Brooklyn Dodgers fan Robert Joyce shoots and kills two at a bar,"July 12, 1938",July 12,,,"Brooklyn Dodgers fan Robert Joyce shoots and kills a fellow bar patron and bartender after an extended ""ribbing"" by Giants fans.",
"1951: Bobby Thomson hits ""the shot heard 'round the world""","October 3, 1951",Oct. 3,http://a.scpr.org/i/b4f08fc47ffe8ad0fff756fa2262994f/69059-eight.jpg,"Photo taken Oct. 3, 1951 after the Giants and Bobby Thomson beat Brooklyn in the last game of the 1951 playoffs. In this photo, Bobby Thomson, Giants manager Leo Durocher and Giants owner Horace Stoneham celebrate in the Polo Grounds locker room after the historic victory by the Giants.","The New York Giants capture the National League pennant as Bobby Thomson hits ""the shot heard 'round the world,"" a three-run home run off the Brooklyn Dodgers' Ralph Branca.",http://www.nydailynews.com/sports/baseball/bobby-thomson-hit-shot-heard-world-home-run-giants-dies-86-article-1.206760
1958: Teams begin their West Coast rivalry ,"April 15, 1958",April 15,,,"After offseason moves from New York City, the teams begin their West Coast rivalry with the Giants beating the Dodgers 8-0 in San Francisco's Seals Stadium.",http://www.sportsecyclopedia.com/nl/ladodgers/ladodgers.html
1965: Players get involved in a 14-minute brawl,"August 22, 1965",Aug. 22,http://a.scpr.org/i/d72d7fde9261679b797d8c136a579d64/69062-eight.jpg,,"While batting, Giants pitcher Juan Marichal attacks Dodgers catcher Johnny Roseboro with a bat, striking him in the head. A bench-clearing, 14-minute brawl ensues.",http://www.nytimes.com/2002/08/20/sports/john-roseboro-a-dodgers-star-dies-at-69.html
1981: Dodgers outfielder Reggie Smith confronts a heckling Giants fan,"Sept. 24, 1981",Sept. 24,http://a.scpr.org/i/6c9ffb1621baefe9b26197468b1d366c/69056-eight.jpg,Los Angeles Dodgers outfielder Reggie Smith (8) takes batting practice before a game at Dodger Stadium.,Dodgers outfielder Reggie Smith goes into the stands to confront a heckling Giants fan at Candlestick Park in San Francisco.,"http://news.google.com/newspapers?nid=1320&dat=19810926&id=rbQRAAAAIBAJ&sjid=p-kDAAAAIBAJ&pg=5686,4933142"
1993: Dodgers knock the 103-win Giants out of the playoff race,"October 3, 1993",Oct. 3,http://a.scpr.org/i/da7b5d38569b81df84a9b5527b845cce/69055-eight.jpg,"Mike Piazza, shown here with Tommy Lasorda, homered twice to beat the Giants.","On the final day of the season, the Dodgers knock the 103-win Giants out of the playoff race with a 12-1 drubbing at Dodger Stadium.","http://news.google.com/newspapers?id=GFJSAAAAIBAJ&sjid=_jUNAAAAIBAJ&pg=4453,5522258&dq=giants+1993&hl=en"
2001: Giants' Barry Bonds hits record-setting 73rd home run of the season ,"October 7, 2001",Oct. 7,http://a.scpr.org/i/13d6fef9a74509d3b16a975a35a2c180/69057-eight.jpg,"Barry Bonds of the Giants, center, hugging his son, Nikolai, after hitting his 70th home run, tying Mark McGwire's record, in Houston. The following night, in San Francisco, he clouted his 71st and 72nd off the Dodgers' Chan Ho Park",Barry Bonds hits his record-setting 73rd home run of the season against Dodgers pitcher Dennis Springer.,http://sportsillustrated.cnn.com/baseball/mlb/news/2001/10/07/bonds_73_ap/
2011: Giants fan is brutally beaten by two men dressed in Dodgers gear ,"March 31, 2011",March 31,http://a.scpr.org/i/8726b6bb4d380f68d5bc1b7f5c702987/69058-eight.jpg,Bryan Stow with his children.,"Bryan Stow, a Northern California paramedic and Giants fan, is brutally beaten by two men dressed in Dodgers gear following the teams' first game of the season in Los Angeles. Stow suffers permanent brain injuries.","http://www.latimes.com/local/lanow/la-me-ln-giants-dodgers-bryan-stow-20130926,0,5663804.story"
2013: Dodgers fan is fatally stabbed in a late-night confrontation,"Sept. 25, 2013",Sept. 25,http://a.scpr.org/i/c6512fb69acdd5078f9cd83d8ae9f901/69061-eight.jpg,"Photo of Jonathan Denver (pictured left) with his father (center) and brother at a Dodgers-Giants game in San Francisco, hours before Denver was fatally stabbed in an argument near the stadium.",Dodgers fan Jonathan Denver is fatally stabbed in a late-night confrontation near the Giants' AT&T Park in San Francisco.,http://www.nbclosangeles.com/news/national-international/Man-Stabbed-to-Death-at-Dodgers-Giants-Game-in-San-Francisco-225332042.html
